Year,State,Income Level,Percent of Total,Number of Households
2014,Oregon,"$40,000 to $44,999",5.03%,"76,568"
2014,Oregon,"$45,000 to $49,999",4.41%,"67,179"
2014,Oregon,"$50,000 to $59,999",8.23%,"125,329"
2014,Oregon,"$60,000 to $74,999",10.38%,"158,075"
2014,Oregon,"$75,000 to $99,999",12.43%,"189,272"
2014,Oregon,"$100,000 to $124,999",7.76%,"118,135"
2014,Oregon,"$125,000 to $149,999",4.35%,"66,193"
2014,Oregon,"$150,000 to $199,999",3.91%,"59,510"
2014,Oregon,"$200,000 or more",3.45%,"52,609"
2014,Oregon,"Less than $10,000",7.45%,"113,411"
2015,Oregon,"$10,000 to $14,999",5.32%,"81,573"
2015,Oregon,"$15,000 to $19,999",5.61%,"86,102"
2015,Oregon,"$20,000 to $24,999",5.50%,"84,305"
2015,Oregon,"$25,000 to $29,999",5.39%,"82,653"
2015,Oregon,"$30,000 to $34,999",5.32%,"81,517"
2015,Oregon,"$35,000 to $39,999",4.97%,"76,170"
2015,Oregon,"$40,000 to $44,999",5.02%,"76,902"
2015,Oregon,"$45,000 to $49,999",4.29%,"65,775"
2015,Oregon,"$50,000 to $59,999",8.14%,"124,834"
2015,Oregon,"$60,000 to $74,999",10.45%,"160,170"
2015,Oregon,"$75,000 to $99,999",12.52%,"192,015"
2015,Oregon,"$100,000 to $124,999",7.82%,"119,929"
2015,Oregon,"$125,000 to $149,999",4.49%,"68,906"
2015,Oregon,"$150,000 to $199,999",4.04%,"61,962"
2015,Oregon,"$200,000 or more",3.79%,"58,066"
2015,Oregon,"Less than $10,000",7.34%,"112,551"
2016,Oregon,"$10,000 to $14,999",5.11%,"78,916"
2016,Oregon,"$15,000 to $19,999",5.30%,"81,988"
2016,Oregon,"$20,000 to $24,999",5.30%,"81,866"
2016,Oregon,"$25,000 to $29,999",5.34%,"82,525"
2016,Oregon,"$30,000 to $34,999",5.14%,"79,438"
2016,Oregon,"$35,000 to $39,999",4.80%,"74,240"
2016,Oregon,"$40,000 to $44,999",4.81%,"74,295"
2016,Oregon,"$45,000 to $49,999",4.29%,"66,292"
2016,Oregon,"$50,000 to $59,999",8.09%,"125,120"
2016,Oregon,"$60,000 to $74,999",10.46%,"161,757"
2016,Oregon,"$75,000 to $99,999",12.68%,"195,969"
2016,Oregon,"$100,000 to $124,999",8.19%,"126,665"
2016,Oregon,"$125,000 to $149,999",4.83%,"74,656"
2016,Oregon,"$150,000 to $199,999",4.46%,"68,882"
2016,Oregon,"$200,000 or more",4.29%,"66,308"
2016,Oregon,"Less than $10,000",6.91%,"106,828"
